dealer,model,slot,market,freight,date
4,55HDG3X BTHH AG <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,55HDG3X SBHH AG <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,60HDG3X HB_temp1 <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,55HDG3X <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,55HDG3X H <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,55FA  B <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,55HDG3X Q1 <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,55HDG3X US <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,DECK - Bellemar <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,35HDG2X NR <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,40HDG3X AG <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,25HDG2X Mini <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,55HDG3X HS <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,GNK - Bellemare <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,40HDG3X53 AG <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,35HDG2X48 AGULP <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,70HDG4X SB <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,51LF3X3T SK <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,37LBT2X W <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,53LD3X3T BC <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,50LF4X3T HD <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,39LBT2X W <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,39LBT3X W <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,51LF3X3T AB V2016 <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,50LF3X3T HD <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,51LF4X3T AB V2015 <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,53LD3X3T BCHD <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,30LBT2X W <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,51LF3X3T PEAK <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,37LBT3X PEAK <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,37LBT3X W <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,27LBT2X W <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,51LF3X3T SK V2016 <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,40LD3X <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,27LD2X <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,28LBT2X PEAK <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,50LF3X3T AB <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,50LF3X3T SK <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,46LD3X2T BC <LOG WESTERN>,44.0,0.0,0.0,2021-05-17
4,51HD3X CON <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,32HBT3X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,48HDD2X Custom V1 <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,28HBT2XHD <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,32HBT3XHD <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53HD3X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53HF3X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,48HD3X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53HDD2X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53OHD3X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53HF4X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53HF4X - Super Single <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,48HD2X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53HF3XEXT <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,29HD3X Rail <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,42HD2X HD <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,48HD2X PEAT <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,39BT2X SCRAP <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,20BT3X SCRAP <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53HD4X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,32HBT3X 2018 <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53HD3X 2018 <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,48HF4X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,50HF5X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53HD2X EXT_temp1 <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,40HD3XB <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,45HD2X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,48HDD2X EXT <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,FA <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,48HDD2X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53HD2X Crane <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,48HDD2X Custom <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,48HF2X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,48HF3X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,48HD2X SPECIAL <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,42HF2X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53HDD3X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,28HBT2X 2018 <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,46HDD2X Custom <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,42HF3X HD <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,35HD2X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,42HD3X 2018 <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53HD2X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,48HD5X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53HD3X 2018 LDECK <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53HF3X 2018 <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53HD2X EXT <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,48HDD3X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53HD2X EXT H <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,40HD2X Penske CUSTOM <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,53HD3X EXT <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,42HD3X HD <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,28HBT2X <HIGHWAY>,44.0,0.0,0.0,2021-05-17
4,37DT3X <DUMP>,44.0,0.0,0.0,2021-05-17
4,27DT2X <DUMP>,44.0,0.0,0.0,2021-05-17
4,27PD2X <DUMP>,44.0,0.0,0.0,2021-05-17
4,28DPT3X <DUMP>,44.0,0.0,0.0,2021-05-17
4,SPECIAL <DUMP>,44.0,0.0,0.0,2021-05-17
4,26DT2X <DUMP>,44.0,0.0,0.0,2021-05-17
4,32DT3X <DUMP>,44.0,0.0,0.0,2021-05-17
4,28DPT2X <DUMP>,44.0,0.0,0.0,2021-05-17
4,38ALB3XS <DUMP>,44.0,0.0,0.0,2021-05-17
4,36ALB2X <DUMP>,44.0,0.0,0.0,2021-05-17
4,32DT3X V2018 <DUMP>,44.0,0.0,0.0,2021-05-17
