ID#,Model No,Option No,Start Date,End Date,Price,Sections,Description,Weight,Width,Deck Length,Spread,SortSe,Draw/Part#,Std Hours,Obsolete,Selection,New Option Wording,OptionInfo,OptionPromptFlag,OptionPrompt,OptionConfigInfo,Option_timestamp,US Price
1159857,Pony Dump 3X17,Pony Dump 3X17-73,2020-09-18 00:00:00.000,2021-07-01 00:00:00.000,520.0000,CHASSIS,"1 ft. Additional Length",190,NULL,NULL,NULL,28,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2F8B,NULL
1267158,Pony Dump 3X17,Pony Dump 3X17-74,2020-09-21 00:00:00.000,2021-07-01 00:00:00.000,50.0000,GENERAL SPECIFICATIONS,"Shovel Holder",NULL,NULL,NULL,NULL,73,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2F8C,NULL
5442584,Pony Dump 3X17,Pony Dump 3X17-27,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,206.1900,LIGHTING/ELECTRICAL,"Side Signal below Rail",NULL,NULL,NULL,NULL,19,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBB0,158.6000
5442585,Pony Dump 3X17,Pony Dump 3X17-000,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,0.0000,TRAILER,"NO OPTIONS FOR THIS WORK ORDER",0,NULL,0,NULL,1,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBB1,NULL
5442586,Pony Dump 3X17,Pony Dump 3X17-19,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,618.5600,SUSPENSION/AXLES,"Aluminum Air Tanks",NULL,NULL,NULL,NULL,13,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBB2,475.8100
5442587,Pony Dump 3X17,Pony Dump 3X17-20,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,644.3300,GENERAL SPECIFICATIONS,"Aluminum Calcium Tank",NULL,NULL,NULL,NULL,73,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBB3,495.6400
5442588,Pony Dump 3X17,Pony Dump 3X17-21,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,515.4600,GENERAL SPECIFICATIONS,"Steel Calcium Tank",NULL,NULL,NULL,NULL,73,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBB4,396.5100
5442589,Pony Dump 3X17,Pony Dump 3X17-22,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,252.5800,LIGHTING/ELECTRICAL,"Lights in Tailgate (qty of 7)",NULL,NULL,NULL,NULL,19,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBB5,194.2900
5442590,Pony Dump 3X17,Pony Dump 3X17-23,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,72.1600,LIGHTING/ELECTRICAL,"Extra Lights in Bottom Rail (set)",NULL,NULL,NULL,NULL,19,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBB6,55.5100
5442591,Pony Dump 3X17,Pony Dump 3X17-24,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,72.1600,LIGHTING/ELECTRICAL,"Extra lights in Top Rail (set)",NULL,NULL,NULL,NULL,19,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBB7,55.5100
5442592,Pony Dump 3X17,Pony Dump 3X17-25,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,216.4900,LIGHTING/ELECTRICAL,"Lights in Tailgate Posts (3 per side)",NULL,NULL,NULL,NULL,19,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBB8,166.5300
5442593,Pony Dump 3X17,Pony Dump 3X17-26,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,206.1900,LIGHTING/ELECTRICAL,"Back up Lights",NULL,NULL,NULL,NULL,19,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBB9,158.6000
5442594,Pony Dump 3X17,Pony Dump 3X17-28,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,335.0500,ACCESSORIES,"8 in. Tailgate Wing",NULL,NULL,NULL,NULL,17,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBBA,257.7300
