Text0,Text5,Text12,Text10,Text13,Text14,JobDesc,Text68,Text25,Text27,Text29,Text31,Text33,Text35,Text66,Text15,Text17,Text19,Text21,Text23,Text67,StockCode,StockDescription,Uom,WarehouseToUse,QtyRequired,QtyIssued,QtyVariance,ValueRequried,,ValueIssued,,Variance,,Text37,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6,40863K,RIM ALUML 8.25X24.5 POLISHED,EA,01,6,0,-6,1363.81,,0,,-1363.81,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6,40864K,RIM ALUML 8.25X24.5 MACHINE,EA,01,6,0,-6,1270.07,,0,,-1270.07,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6,409374,TIRE 11R24.5-16 S815,EA,01,12,0,-12,3466.44,,0,,-3466.44,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6,409375,TIRE 385/65R22.5 S825,EA,01,2,0,-2,867.96,,0,,-867.96,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8,17424,REDUCER #MAK 11/06/19,LTR,01,6.5,0,-6.5,46.18,,0,,-46.18,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8,17462,"PAINT ""BWS"" LIGHT GREY AUE-370",LTR,01,18,0,-18,451.51,,0,,-451.51,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8,17464,PAINT BLACK #AUE-370 DRUM,LTR,01,50,0,-50,914.82,,0,,-914.82,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8,17470,PAINT BLACK #AUE-100 JET BLACK,LTR,01,1,0,-1,15.43,,0,,-15.43,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8,17547,PRIMER EWP435 GREY,LTR,01,46,0,-46,992.99,,0,,-992.99,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9,06151,WIRE 2 COND 14GA,FT,04,35,0,-35,8.75,,0,,-8.75,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9,06466,"GROMMET RB-265 1 1/2"" IDX2 1/8",EA,04,40,0,-40,25.2,,0,,-25.2,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9,06838,LIGHT KIT U/BLUE BWS-L-LED-ON,EA,01,1,0,-1,895,,0,,-895,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9,401361,RECEPTACLE 7 PIN ISO #680-E72,EA,04,1,0,-1,12.6,,0,,-12.6,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9,40213,RECEPTACLE 7 WAY 670-72,EA,04,1,0,-1,8.6,,0,,-8.6,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9,40474,BOOT FOR 7 WAY SOCKET (#670-72,EA,04,2,0,-2,2.66,,0,,-2.66,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,03080,BOLT HEX 3/8 X 1-1/2 UNC,EA,01,12,0,-12,1.54,,0,,-1.54,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,03564,NUT LOCK NYL 3/8 -16 UNC,EA,01,20,0,-20,1.01,,0,,-1.01,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,03735,NUT LOCK NYL 1/4 -20 UNC,EA,01,9,0,-9,0.23,,0,,-0.23,,-100,,,,,,,,,,,,
