Text0,Text5,Desc,LongDesc,Text89,Text91,Text64,Text19,Text15,Text17,Text66,Text94,Text67,Text68,Text69,Text70,Text71,Text72,Seq,Op,Comp,Desc_txt,LongDesc_txt,Text95,QtPer,SUOM,MC,,RT,,LC,,TC,,,,,,,,,
,,,,,,,,,,,,,,,,,,05-Feb-21,10,08290,GAUGE PG-100SG25 LIQUID FILL,#02190989 BOTTOM MOUNT (SIDE),0,1,EA,13.39,,,,0.00,,13.39,,,,,,,,,
,,,,,,,,,,,,,,,,,,12-Feb-21,10,09682,FIT STR 3/4MNPTx1/2MNPT,#S1022ED,0,2,EA,2.96,,,,0.00,,2.96,,,,,,,,,
,,,,,,,,,,,,,,,,,,22-Jan-21,10,17077,BUSHING REDUCING - 3/8 x 1/4,#S1010-CB,0,8,EA,5.76,,,,0.00,,5.76,,,,,,,,,
,,,,,,,,,,,,,,,,,,23-Feb-21,10,17090,PLUG 1/4 PIPE S1009-B, ,0,2,EA,0.28,,,,0.00,,0.28,,,,,,,,,
,,,,,,,,,,,,,,,,,,11-Mar-21,10,17091,PLUG 3/8 PIPE S1009-C, ,0,5,EA,1.10,,,,0.00,,1.10,,,,,,,,,
,,,,,,,,,,,,,,,,,,05-Feb-21,10,17105,NIPPLE 1/4 CLOSE,#BI-112-B,0,2,EA,0.97,,,,0.00,,0.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,25-Feb-21,10,17211,BUSHING REDUCING - 3/4 x 1/4,#S1010-EB,0,2,EA,3.00,,,,0.00,,3.00,,,,,,,,,
,,,,,,,,,,,,,,,,,,18-Feb-21,10,401052,TANK AIR 1280/2002D  BIG 2PORT,18 PER SKID / 2002D RQ1280,90,3,EA,185.76,,,,0.00,,185.76,,,,,,,,,
,,,,,,,,,,,,,,,,,,25-Feb-21,10,401230,HOSE AIR 3/8 RUBBER HAB-6-32C,"3/8 X 32""",0,4,EA,20.52,,,,0.00,,20.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,14-Mar-21,10,401530,ISOLATOR RUBBER/AIRTANK,"#2000FB, RQ094-31010",0,6,EA,3.12,,,,0.00,,3.12,,,,,,,,,
,,,,,,,,,,,,,,,,,,22-Feb-21,10,401824,ABS KIT 2S/1M,KIT# SN2614G 7/2/19,0,1,EA,274.69,,,,0.00,,274.69,,,,,,,,,
,,,,,,,,,,,,,,,,,,25-Feb-21,10,401886,CABLE #201198BC USED ON,2S/1M ABS SYSTEM,0,3,EA,23.19,,,,0.00,,23.19,,,,,,,,,
,,,,,,,,,,,,,,,,,,18-Feb-21,10,40192,GLAD HAND SERVICE GHS-SC,BLUE C/W SCREEN,0,1,EA,2.17,,,,0.00,,2.17,,,,,,,,,
